"[""It's You"", 'Zayn']"
"['Have A Heart', 'Bonnie Raitt']"
"['Cyanide', 'Metallica']"
"['Walking In My Shoes', 'Depeche Mode']"
"['How Deep Is Your Love', 'Dru Hill Featuring Redman']"
"[""I'm Already There"", 'Lonestar']"
"['Eastside', 'benny blanco, Halsey & Khalid']"
"[""I'll Do 4 U"", 'Father M.C.']"
"['Boots', 'The Killers']"
"['Easy Come Easy Go', 'Winger']"
"['Flow Joe', 'Fat Joe']"
"['Nice & Slow', 'Usher']"
"['Tin Man', 'Miranda Lambert']"
"['Wild Horses', 'Garth Brooks']"
"['Reminder', 'The Weeknd']"
"['Cantaloop (Flip Fantasia)', 'US3']"
"['Something New', 'Zendaya Featuring Chris Brown']"
"['Friday', 'Glee Cast']"
"['Sooner Or Later', 'Michelle Branch']"
"['International Harvester', 'Craig Morgan']"
"['Tears In Heaven', 'Eric Clapton']"
"['Talk To Me', 'Tory Lanez & Rich The Kid']"
"['The World I Know', 'Collective Soul']"
"['Emotion', ""Destiny's Child""]"
"['Red Nose', 'Sage The Gemini']"
"['Home', 'One Direction']"
"['Krippy Kush', 'Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian']"
"['Saving Grace', 'Tom Petty']"
"['Most People Are Good', 'Luke Bryan']"
"['All Good?', 'De La Soul Featuring Chaka Khan']"
"['Wiggle It', '2 In A Room']"
"['Left, Right, Left', 'Drama']"
"['Forever More', 'Puff Johnson']"
"['Yeah, Yeah, Yeah!', 'Voices']"
"['Encore', 'Eminem, Dr. Dre & 50 Cent']"
"['Real Love', 'Skyy']"
"['Roll To Me', 'Del Amitri']"
"['Hit By Love', 'CeCe Peniston']"
"['My Man', 'Glee Cast']"
"['This Beat Is Hot', 'B.G. The Prince Of Rap']"
"['Freaky Friday', 'Lil Dicky Featuring Chris Brown']"
"['Closer To Free (From ""Party Of Five"")', 'BoDeans']"
"['One', 'U2']"
"['Footloose', 'Blake Shelton']"
"[""Everything I Shouldn't Be Thinking About"", 'Thompson Square']"
"['All About It', 'Hoodie Allen Featuring Ed Sheeran']"
"['Work From Home', 'Fifth Harmony Featuring Ty Dolla $ign']"
"['Anything', '3T']"
"['The Way That I Love You', 'Ashanti']"
"['This Could Be The One', 'Bad Company']"
"['Love', 'Musiq Soulchild']"
"['Her Diamonds', 'Rob Thomas']"
"['Rain Over Me', 'Pitbull Featuring Marc Anthony']"
"['Praying For Time', 'Carrie Underwood']"
"['Electric Barbarella', 'Duran Duran']"
"['No Diggity', 'BLACKstreet (Featuring Dr. Dre)']"
"['Call Me', 'Le Click']"
"['Seen It All', 'Jeezy Featuring Jay Z']"
"['Dare You To Move', 'Switchfoot']"
"['Peace Of Mind (Love Goes On)', 'One 2 One']"
"[""Merry Go 'round"", 'Kacey Musgraves']"
"['You Used To Love Me', 'Faith Evans']"
"[""Stacy's Mom"", 'Fountains Of Wayne']"
