"['Kadam', 'Prateek Kuhad', 'spotify:track:6q7bXTv3yBedHblKRoC5uu']"
"['Sunset', 'POLR', 'spotify:track:2rSwlUsduuVdle8tSP618S']"
"['Heysátan', 'Sigur Rós', 'spotify:track:3J3kP9sFjyETLkIYBWuOJW']"
"['sky to you', 'luvwn', 'spotify:track:2tz8CiWo4VEwNbgyOsHsoY']"

"['Roots', 'The Great Albatross', 'spotify:track:2r5JKEbpnHaFPYH3NSW7cv']"
"['Runes To My Memory', 'Amon Amarth', 'spotify:track:1kevNQF47RA24IRdyfwZO3']"
"['khutso', 'Fujitsu', 'spotify:track:25zvyCuLN2ScNCyQ8lVarD']"
"['Little Bribes', 'Death Cab for Cutie', 'spotify:track:7mJSqkHkaJwRnmWD1KNgmb']"

"['From Now On', 'Nada Surf', 'spotify:track:0awK9FO828Pcimo5GlxX2v']"
"['Instagram', 'DeStorm Power', 'spotify:track:6DbQ7loSLVBffxsZpJFwQj']"
"['Big Yellow Taxi', 'Counting Crows', 'spotify:track:0KTfZWEWivacSuZSjUe7JS']"
"['Protest', 'DeStorm Power', 'spotify:track:1o4Sk4Z9OntP6NB6b8LngE']"
"['Little Sines', 'Rhian Sheehan', 'spotify:track:4gNRFtIO2Bx8OUsNrU2shy']"

"['Recycled Air (Live on KEXP)', 'The Postal Service', 'spotify:track:74vKva44nOruLVrc5nlQnb']"
"['The Marionette', 'Tristeza', 'spotify:track:6MxIHiTKP08V2UhPPT7mYO']"

"['Our Misconception', 'Era of Discord', 'spotify:track:5lgLPhrOQRDZIVCLj4W3JG']"

"['Monarch Omega', 'Abnormality', 'spotify:track:5RbqNB5HMFkyqXLDdxn0jP']"
"['The Theory of Everything', 'Jóhann Jóhannsson', 'spotify:track:1Wd7EwZcoAfCAEi9FF6G6b']"
"['Home', 'Deep Blue Something', 'spotify:track:7zgaCNXiN8F1JPlFXtEffv']"
"['Murky - Original Mix', 'Pensees', 'spotify:track:4eYRhRCz0PqtfURydVDg1D']"
"['Day of Mourning', 'Despised Icon', 'spotify:track:3wQnguFVtKptnaHjM8HfNp']"
"['Illusions', 'Frythm', 'spotify:track:4tG5tBgeBlBYEXzDYrhubt']"
"['Tropic Breeze', 'Sarah, the Illstrumentalist', 'spotify:track:3QMesuLaoK1f4Ezo1pUY6P']"
"['Battle Symphony', 'Linkin Park', 'spotify:track:3FQCJI2t5LTbsRPfYVBSVB']"
"['If I Could Split', 'Kite Flying Society', 'spotify:track:3ra5Z9aRFoY3QpvW1tnglc']"
"['The Upper Sky (Live)', 'Rhian Sheehan', 'spotify:track:5l5BWGKDly2364mu4MeT86']"
"['Gone In Bloom and Bough', 'Caspian', 'spotify:track:4VRpBwJlHO58pyr6i49Jpn']"
"['Big Thinks Do Remarkable', 'And So I Watch You from Afar', 'spotify:track:0NNcqfgzO4ivslX7ALoz17']"
"['Hungarian Rhapsody No. 2', 'Franz Liszt', 'spotify:track:7CIoJE0JfVFcmmUY3fFojH']"
"['Valkyrie', 'Bloodred Hourglass', 'spotify:track:6BwcEv5M5WSQKJKJ2qkxWN']"
"['09-15-00', 'Godspeed You! Black Emperor', 'spotify:track:1GnpP8KGF6hLlFPy1jBs9E']"
"['Holland, 1945', 'Neutral Milk Hotel', 'spotify:track:4iwMhMvcTqukn1n3NVjb2N']"
"['Route One 296', 'Sigur Rós', 'spotify:track:4gVEv8WkGgw5aLrYda0PwQ']"
"['The Weather', 'Lyves', 'spotify:track:3J7wh2tkjlGS2LmQmIkwYb']"
"['Anthem for No State, Pt. III', 'Godspeed You! Black Emperor', 'spotify:track:0WC9LsPSCF2OnLrJ1xRCm4']"

"['Go Into the Water', 'Metalocalypse: Dethklok', 'spotify:track:56C7rBk3rrZ0bsm029Esw0']"
"['Pelt of Innocent Flesh', 'Infant Annihilator', 'spotify:track:7fcXZ483JrBaulUMlqDmRf']"
"['A Horrendous Epiphany', 'Logistic Slaughter', 'spotify:track:2WLXb4jxPqmFsrWmRJVQSg']"
"['Yesterday - Remastered', 'The Beatles', 'spotify:track:1e0hllQ23AG0QGFgezgLOq']"
"['Golfi.', 'Mora', 'spotify:track:3BPPLCDcZq9Re3CvCeo2iT']"
"['Yeet', 'DeStorm Power', 'spotify:track:5x9mPBJOKa8izOBBwpjs7K']"
"['Teleshopping', 'Delayde', 'spotify:track:0PmBzoUbQXbQNOjnxuTXMD']"
"['Messiah of Manipulation', 'Acrania', 'spotify:track:0Rdz28gFQScnccWNYvrKoE']"
"['Dust And Disquiet', 'Caspian', 'spotify:track:3dqdamJD7074ppV3CeROWk']"
"['Turning Lane (Acoustic)', 'The Republic of Wolves', 'spotify:track:5deGga8akbTrKowGJ5j7yD']"
"['Josey', 'Deep Blue Something', 'spotify:track:3uuf4C2kbmb4PYGZEmupIG']"
"['...And Their Eulogies Sang Me To Sleep.', 'The Agonist', 'spotify:track:3QRfSrXGiMvety2AxLfmAm']"
"['Skylines', 'The Album Leaf', 'spotify:track:1e6EXtT1JuE4r3nJpZPnqt']"
"['Not the Fallen', 'Suffokate', 'spotify:track:3qgmgPq1g1QvzL012Uf6Ht']"
"['Waking Season', 'Caspian', 'spotify:track:0TX2utBHwlsFtQL6gHDl6V']"
"['I Bought It', 'DeStorm Power', 'spotify:track:1h400o1U9MeRBUVONT0C49']"
"['Settler', 'Balmorhea', 'spotify:track:5D6mGg4jXNWcGLcUaYuwfH']"
"['Woofer (feat. Snoop Dogg, Zora Randhawa & Nargis Fakhri)', 'Dr Zeus', 'spotify:track:1Itd3Y9PBX4nfxmhhPBiYU']"
"['Looped', 'Kiasmos', 'spotify:track:4zSbFrERDuBdZ1Bio9uee4']"
"['Awe', 'Helios', 'spotify:track:2D9e8RR1M7spCbt6HwOoF4']"
"['Carrie & Lowell', 'Sufjan Stevens', 'spotify:track:5puPIY11QYhuuQJ9T7vND0']"
"['Andromeda', 'Metalocalypse: Dethklok', 'spotify:track:0OQp3Vktk1QNLlkmP0uZrL']"
"['Ocean Eyes', 'Twin Theory', 'spotify:track:5pyY8hsQOhQJsiZk1eC4Ed']"
"[""The Heirs To Mankind's Atrocities"", 'Ingested', 'spotify:track:1H9QRBOKP8xJBqbnWbOxOh']"
"['Route One 346', 'Sigur Rós', 'spotify:track:2Os1BWc7cLyOxSVBBvR4Tz']"
"['Einharjar', 'King of Asgard', 'spotify:track:0zxh8RyOVBL0sDvB8ytDY1']"
"['Fireworks', 'Nicholas Hooper', 'spotify:track:2lRDMjTOqv4a9mrIrgZYmX']"
"['Blankets of Night', 'Hammock', 'spotify:track:5v1IWGdPgD2oeWIpm8XcWe']"
"['Hello Scotland', 'ef', 'spotify:track:1PeDM4OaaB3mTsJ8XxlQie']"
"['Caught Series, Pt. 3', 'DeStorm Power', 'spotify:track:4uQmXKt97sG2bPS8BdIZNQ']"
"['Black Hole Sun - Recorded Live At Red Robinson Show Theatre, Vancouver, Canada on April 30, 2011', 'Chris Cornell', 'spotify:track:5p0s4na5wJHnaNw9azmiQm']"
"['Swan Lake, Op. 20, Act II No. 10: Act II By a Lake: No. 10. Scene: Moderato', 'Pyotr Ilyich Tchaikovsky', 'spotify:track:1YR19v5F9iZidRL9pJMtzJ']"
"['Anything You Want', 'DeStorm Power', 'spotify:track:1UEua3Gy92t1EtVBkYy8JK']"
"['Sunset In The Maldives', 'Sarah, the Illstrumentalist', 'spotify:track:1zfdLERVzSlNpwsiWHu8yQ']"
"['Disarm - Remastered', 'The Smashing Pumpkins', 'spotify:track:2lXHg7BtTNoP39AezyCSfL']"
"['Against The Wall - Acoustic Version', 'Seether', 'spotify:track:7iHpX7m9owsqawBy008yvF']"
"[""Don't Dream It's Over"", 'Crowded House', 'spotify:track:4rr67zXmEYf9ykLigeEsbv']"
"['On the Brink of Devastation', 'Serpentine Dominion', 'spotify:track:2Zz3FVXIHZGw2Zt1b5KbxW']"
"['Humbug', 'Owl City', 'spotify:track:2MB14VodxAdlDX5j9OGQps']"
"['Tokyo Shadows (Live)', 'Rhian Sheehan', 'spotify:track:5AsbRjbpeADvpNCejI1ul6']"
"['Eyjafjallajokull Dance (2010)', 'The World Is A Beautiful Place & I Am No Longer Afraid To Die', 'spotify:track:2lzCQ9VnbeibbbxWYA7PNo']"
"['Pool House', 'TYDPOOL', 'spotify:track:0t4qHAi5Ob0XyYG6JwNYfq']"
"['I Will Follow You Into The Dark', 'Death Cab for Cutie', 'spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ']"
"['Wheels Down', 'Adam Young', 'spotify:track:49ntIvaDslzJ9Fe43R3Ehq']"
"['7th Inning Stretch', 'Cloudchord', 'spotify:track:3eSvzMBCG2vXB7rGNRyVRZ']"
"[""I'm Right Here with You"", 'D-A-L', 'spotify:track:7KHJQDWppunvHNXdaoQlzZ']"
"['First Field', 'The Antlers', 'spotify:track:3irtiZ6iy1C7CmMdzF11rT']"
"['You Make My Dreams', 'Daryl Hall & John Oates', 'spotify:track:4o6BgsqLIBViaGVbx5rbRk']"
"['Musafir', 'Ankur Tewari', 'spotify:track:2eWofuTLSnbUIBARpOhO1w']"

"['Rosanna', 'Toto', 'spotify:track:37BTh5g05cxBIRYMbw8g2T']"
"[""My Darlin'"", 'Miley Cyrus', 'spotify:track:7hJ1fEr1nf2e4qsE4bfmcc']"
"['Themes (From ""Pirates of the Caribbean"")', 'Hans Zimmer', 'spotify:track:65dzaZqMOZadoKteEzzkuE']"
"['Pale Blue Dot', 'Adam Young', 'spotify:track:4uL3ktBUgXBn3jmTegPDpd']"
"['Decapitation Fornication', 'Infant Annihilator', 'spotify:track:2ZHzrzp6sTqIYKmuynN29k']"
"['If the Hudson Overflows', 'Goldspot', 'spotify:track:2Rn2OOdxoiuKJEy8Fy2pJW']"
"['Plush - Acoustic', 'Stone Temple Pilots', 'spotify:track:3ftHrCjsTUPLgI48m67byk']"
"['Pre-Released Foetal Mush', 'Ingested', 'spotify:track:27S8vCgLeuwhCC1IFpOYKt']"
"['Subjected to a Beating', 'Dying Fetus', 'spotify:track:7dU9Z24yR9AKuS9cAe2Tj7']"
"['Backbone', 'Harrdy Sandhu', 'spotify:track:4t77OsiudWy4timV32lPa2']"
"['Route One 100', 'Sigur Rós', 'spotify:track:68EMZF8hm8M7WimNGMZGes']"
"['Caught Series, Pt. 11', 'DeStorm Power', 'spotify:track:5HQm5KBDquefU8rC6T9mIb']"
"['Flicker', 'Airplanes', 'spotify:track:5PerPz3FgWN63l78t4HNXA']"
"['Suede Gully', 'Puma', 'spotify:track:4I9KMyos5GGAuop5XTXLIj']"
"['Insomniac', 'Hanz', 'spotify:track:4NLgbmSmTV1pjTJKT69SKo']"
"['Back at It', 'Atreesto', 'spotify:track:2jk9QV9zjBjoIUKzUMLRNI']"

"['This Is Us Score Suite', 'Siddhartha Khosla', 'spotify:track:1NzoLVXnToV4unbDJPt3B0']"
"['Strip That Down', 'Liam Payne', 'spotify:track:4Ro98RCK90oHqqSZUnTFq5']"
"['Kveikur', 'Sigur Rós', 'spotify:track:3F821OqRN1oGQg8FKC0S5U']"
"['My Childhood Friend', 'Dorena', 'spotify:track:3bKpKeDQxu60xYxcodlE4o']"
