Alive And Kicking,Simple Minds,67,0.572,0.913,0,-4.26,1,0.0362,0.0753,1.50E-05,0.128,0.561,103.265,289453,4,63.89087,8,0
All Alright,Sigur R¢s,61,0.32,0.028,2,-19.41,1,0.0451,0.962,0.599,0.101,0.0879,109.768,381120,4,112.86501,13,0
All Alright - Live,Sigur R¢s,61,0.26,0.125,2,-15.32,1,0.0371,0.802,0.887,0.711,0.0738,106.451,341507,1,27.97039,14,0
All for Nothing,Despised Icon,37,0.57,0.969,11,-1.985,0,0.185,0.000206,0.302,0.152,0.214,112.524,194947,4,45.91701,8,0
All My Faith,The Last Dinosaur,44,0.431,0.323,11,-14.374,1,0.0334,0.422,0.959,0.113,0.112,153.03,202760,3,54.8263,8,0
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens,70,0.632,0.225,4,-13.423,1,0.0296,0.984,0.74,0.112,0.683,144.641,254053,4,35.21346,9,0
Alone And Shaking,MNMM,3,0.216,0.39,7,-13.805,0,0.0352,0.361,0.653,0.111,0.15,103.212,401000,5,32.82553,15,0
Always Returning - Remastered 2005,Brian Eno,67,0.299,0.114,10,-24.355,1,0.042,0.687,0.859,0.0764,0.131,70.729,244187,4,32.8776,9,0
"Amber, Ember, Glow",Saxon Shore,25,0.458,0.933,5,-5.929,0,0.0381,0.00724,0.945,0.0733,0.309,136.038,149480,4,21.72693,7,0
Ambre,Nils Frahm,68,0.391,0.0576,10,-25.585,0,0.0342,0.992,0.947,0.117,0.359,145.569,227640,3,46.96514,11,0
Amongst Vermin,Ingested,37,0.242,0.98,9,-2.409,1,0.179,6.79E-06,0.741,0.524,0.0918,139.979,237427,4,15.80794,10,0
Amongst Your Earthiest Words The Angels Stray,Years Of Rice And Salt,39,0.326,0.347,2,-7.594,1,0.0304,0.167,0.876,0.147,0.0662,143.044,360200,4,27.45564,15,0
Amsterdam,Gregory Alan Isakov,68,0.554,0.429,3,-12.51,1,0.0283,0.921,0.133,0.115,0.533,152.054,198640,3,23.30498,11,0
And She Translated Into the Sky,Levi Patel,32,0.174,0.0635,2,-17.946,0,0.0443,0.975,0.954,0.0819,0.0335,119.036,442176,4,32.04106,17,0
